areaType,areaName,areaCode,dateyear,newCasesByPublishDate
nation,England,E92000001,27/11/2021,35798
nation,England,E92000001,26/11/2021,42272
nation,England,E92000001,25/11/2021,40382
nation,England,E92000001,24/11/2021,36511
nation,England,E92000001,23/11/2021,36550
nation,England,E92000001,22/11/2021,36478
nation,England,E92000001,21/11/2021,33513
nation,England,E92000001,20/11/2021,36339
nation,England,E92000001,19/11/2021,37006
nation,England,E92000001,18/11/2021,39315
nation,England,E92000001,17/11/2021,30638
nation,England,E92000001,16/11/2021,30853
nation,England,E92000001,15/11/2021,31440
nation,England,E92000001,14/11/2021,29404
nation,England,E92000001,13/11/2021,33493
nation,England,E92000001,12/11/2021,33155
nation,England,E92000001,11/11/2021,35472
nation,England,E92000001,10/11/2021,31541
nation,England,E92000001,09/11/2021,27872
nation,England,E92000001,08/11/2021,24979
nation,England,E92000001,07/11/2021,23779
nation,England,E92000001,06/11/2021,26250
nation,England,E92000001,05/11/2021,28490
nation,England,E92000001,04/11/2021,30166
nation,England,E92000001,03/11/2021,34317
nation,England,E92000001,02/11/2021,28531
nation,England,E92000001,01/11/2021,32081
nation,England,E92000001,31/10/2021,31479
nation,England,E92000001,30/10/2021,36204
nation,England,E92000001,29/10/2021,36853
nation,England,E92000001,28/10/2021,33903
nation,England,E92000001,27/10/2021,37502
nation,England,E92000001,26/10/2021,32280
nation,England,E92000001,25/10/2021,33309
nation,England,E92000001,24/10/2021,33221
nation,England,E92000001,23/10/2021,41259
nation,England,E92000001,22/10/2021,41745
nation,England,E92000001,21/10/2021,44363
nation,England,E92000001,20/10/2021,41498
nation,England,E92000001,19/10/2021,36712
nation,England,E92000001,18/10/2021,39473
nation,England,E92000001,17/10/2021,38543
nation,England,E92000001,16/10/2021,39624
nation,England,E92000001,15/10/2021,37691
nation,England,E92000001,14/10/2021,38488
nation,England,E92000001,13/10/2021,36458
nation,England,E92000001,12/10/2021,33287
nation,England,E92000001,11/10/2021,32349
nation,England,E92000001,10/10/2021,31096
nation,England,E92000001,09/10/2021,31259
nation,England,E92000001,08/10/2021,32157
nation,England,E92000001,07/10/2021,33305
nation,England,E92000001,06/10/2021,33450
nation,England,E92000001,05/10/2021,28846
nation,England,E92000001,04/10/2021,28251
nation,England,E92000001,03/10/2021,25176
nation,England,E92000001,02/10/2021,26794
nation,England,E92000001,01/10/2021,28836
nation,England,E92000001,30/09/2021,29826
nation,England,E92000001,29/09/2021,29036
nation,England,E92000001,28/09/2021,28808
nation,England,E92000001,27/09/2021,29329
nation,England,E92000001,26/09/2021,25538
nation,England,E92000001,25/09/2021,28087
nation,England,E92000001,24/09/2021,28199
nation,England,E92000001,23/09/2021,29045
nation,England,E92000001,22/09/2021,27317
nation,England,E92000001,21/09/2021,24973
nation,England,E92000001,20/09/2021,26905
nation,England,E92000001,19/09/2021,22173
nation,England,E92000001,18/09/2021,22956
nation,England,E92000001,17/09/2021,23265
nation,England,E92000001,16/09/2021,22949
nation,England,E92000001,15/09/2021,22078
nation,England,E92000001,14/09/2021,19739
nation,England,E92000001,13/09/2021,21077
nation,England,E92000001,12/09/2021,19913
nation,England,E92000001,11/09/2021,23825
nation,England,E92000001,10/09/2021,26653
nation,England,E92000001,09/09/2021,27049
nation,England,E92000001,08/09/2021,29286
nation,England,E92000001,07/09/2021,27545
nation,England,E92000001,06/09/2021,27202
nation,England,E92000001,05/09/2021,27022
nation,England,E92000001,04/09/2021,29614
nation,England,E92000001,03/09/2021,31726
nation,England,E92000001,02/09/2021,28686
nation,England,E92000001,01/09/2021,24723
nation,England,E92000001,31/08/2021,20967
nation,England,E92000001,30/08/2021,21324
nation,England,E92000001,29/08/2021,22501
nation,England,E92000001,28/08/2021,25118
nation,England,E92000001,27/08/2021,27545
nation,England,E92000001,26/08/2021,29417
nation,England,E92000001,25/08/2021,27350
