areaType,areaName,areaCode,dateyear,dailytotalvaccinationgiven,newPeopleVaccinatedFirstDose,newPeopleVaccinatedSecondDose,newPeopleVaccinatedThirdInjection
nation,England,E92000001,26/11/2021,362002,19098,21923,320981
nation,England,E92000001,25/11/2021,375041,20677,19615,334749
nation,England,E92000001,24/11/2021,357129,21775,20048,315306
nation,England,E92000001,23/11/2021,343041,23445,18562,301034
nation,England,E92000001,22/11/2021,286231,20665,15567,249999
nation,England,E92000001,21/11/2021,214444,14066,11240,189138
nation,England,E92000001,20/11/2021,457627,23350,21592,412685
nation,England,E92000001,19/11/2021,348606,24413,18723,305470
nation,England,E92000001,18/11/2021,359666,24034,17429,318203
nation,England,E92000001,17/11/2021,360981,28332,18511,314138
nation,England,E92000001,16/11/2021,326963,27258,16897,282808
nation,England,E92000001,15/11/2021,275445,27672,15525,232248
nation,England,E92000001,14/11/2021,206979,18296,11959,176724
nation,England,E92000001,13/11/2021,464854,30618,22806,411430
nation,England,E92000001,12/11/2021,350475,31649,19229,299597
nation,England,E92000001,11/11/2021,359339,34640,19560,305139
nation,England,E92000001,10/11/2021,625460,115551,43996,465913
nation,England,E92000001,09/11/2021,333292,36321,18208,278763
nation,England,E92000001,08/11/2021,270273,30386,17398,222489
nation,England,E92000001,07/11/2021,200591,22430,11202,166959
nation,England,E92000001,06/11/2021,427929,33721,22869,371339
nation,England,E92000001,05/11/2021,326080,40573,19037,266470
nation,England,E92000001,04/11/2021,331685,40075,17167,274443
nation,England,E92000001,03/11/2021,327559,42413,17374,267772
nation,England,E92000001,02/11/2021,307581,43508,17807,246266
nation,England,E92000001,01/11/2021,247105,34642,15751,196712
nation,England,E92000001,31/10/2021,165679,22954,11464,131261
nation,England,E92000001,30/10/2021,384081,31157,22479,330445
nation,England,E92000001,29/10/2021,293878,36561,19175,238142
nation,England,E92000001,28/10/2021,306978,39397,19586,247995
nation,England,E92000001,27/10/2021,295284,39964,18740,236580
nation,England,E92000001,26/10/2021,272675,35780,19499,217396
nation,England,E92000001,25/10/2021,238695,32032,18251,188412
nation,England,E92000001,24/10/2021,171833,19607,14138,138088
nation,England,E92000001,23/10/2021,384887,32220,27527,325140
nation,England,E92000001,22/10/2021,312338,41732,22423,248183
nation,England,E92000001,21/10/2021,321991,44558,22027,255406
nation,England,E92000001,20/10/2021,290038,44521,21701,223816
nation,England,E92000001,19/10/2021,258682,38533,21141,199008
nation,England,E92000001,18/10/2021,206298,35334,20668,150296
nation,England,E92000001,17/10/2021,123692,9839,14545,99308
nation,England,E92000001,16/10/2021,335905,19735,30440,285730
nation,England,E92000001,15/10/2021,259349,35884,25380,198085
nation,England,E92000001,14/10/2021,275961,38185,23489,214287
nation,England,E92000001,13/10/2021,247841,32315,24828,190698
nation,England,E92000001,12/10/2021,213093,30636,22447,160010
nation,England,E92000001,11/10/2021,165300,23232,20350,121718
nation,England,E92000001,10/10/2021,116632,9111,15643,91878
nation,England,E92000001,09/10/2021,298267,18438,29751,250078
nation,England,E92000001,08/10/2021,223187,25536,25006,172645
nation,England,E92000001,07/10/2021,225581,25319,24208,176054
nation,England,E92000001,06/10/2021,209041,24519,24135,160387
nation,England,E92000001,05/10/2021,213589,35193,24253,154143
nation,England,E92000001,04/10/2021,177888,30784,24746,122358
nation,England,E92000001,03/10/2021,116455,10720,17502,88233
nation,England,E92000001,02/10/2021,243344,18736,30849,193759
nation,England,E92000001,01/10/2021,215131,31978,29993,153160
nation,England,E92000001,30/09/2021,59007,28689,30318,
nation,England,E92000001,29/09/2021,57352,27445,29907,
nation,England,E92000001,28/09/2021,58236,28566,29670,
nation,England,E92000001,27/09/2021,49294,20704,28590,
nation,England,E92000001,26/09/2021,30290,8814,21476,
nation,England,E92000001,25/09/2021,60656,17607,43049,
nation,England,E92000001,24/09/2021,61433,21866,39567,
nation,England,E92000001,23/09/2021,63316,21588,41728,
nation,England,E92000001,22/09/2021,58138,18462,39676,
nation,England,E92000001,21/09/2021,56172,16924,39248,
nation,England,E92000001,20/09/2021,57107,15669,41438,
nation,England,E92000001,19/09/2021,40802,10344,30458,
nation,England,E92000001,18/09/2021,87762,21628,66134,
nation,England,E92000001,17/09/2021,72608,17351,55257,
nation,England,E92000001,16/09/2021,77915,18974,58941,
nation,England,E92000001,15/09/2021,77216,20120,57096,
nation,England,E92000001,14/09/2021,74229,17708,56521,
nation,England,E92000001,13/09/2021,70318,15511,54807,
nation,England,E92000001,12/09/2021,54626,11724,42902,
nation,England,E92000001,11/09/2021,109993,23925,86068,
nation,England,E92000001,10/09/2021,100642,21879,78763,
nation,England,E92000001,09/09/2021,108598,22006,86592,
nation,England,E92000001,08/09/2021,95957,20409,75548,
nation,England,E92000001,07/09/2021,95870,22866,73004,
